"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"8521","Normal/Others","WS/MP150/2024-2025/10634-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","gram rhediya bajar se nadi tak cc road","Dr. Kirodi Lal Meena (2018-23) (NaN-NaN)","Elected MP","N/A","11-Jan-2025","493896"
"8522","Normal/Others","WS/MP144/2024-2025/22878-Development of playfields and sports grounds","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Construction of boundary wall work R.U.M.V. Darbarpur playground  P.S. Mandawar","Shri Bhupender Yadav (2018-24) (NaN-NaN)","Elected MP","N/A","02-Jan-2026","978362"
"8523","Normal/Others","WS/MP104/2023-2024/31054-Construction of boundary walls of existing public and community buildings","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","Boundary Wall Construction","Dr. L. Murugan (2021-24) (NaN-NaN)","Elected MP","Images","11-Feb-2026","250000"
"8524","Normal/Others","WS/MP089/2024-2025/88568-Construction of community centers and community halls","Karnataka","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Samudaya Bhavan Balance work at channarayapatna taluk Anekere G.P Kerekodihalli Village","Shri H.D. Devegowda (2020-26) (NaN-NaN)","Elected MP","Images","27-Mar-2026","298910"
"8525","Normal/Others","WS/MP060/2024-2025/87216-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Work of CC Road from Prahladbhai Chauhan's house to Karai village way towards","Dr. Amee Yajnik (2018-24) (NaN-NaN)","Elected MP","Images","16-Dec-2024","495000"
"8526","Normal/Others","WS/MP073/2024-2025/149644-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","DARRANG(DEPUTY COMMISSIONER DARRANG_IDA)","Construction ofGhorasal Connecting Road to Niranchuba via Khalifa Chuba at Sipajhar","Shri Birendra Prasad Baishya (2019-25) (NaN-NaN)","Elected MP","Images","07-Mar-2025","1000000"
"8527","Normal/Others","WS/MP070/2024-2025/41651-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Hanuman temple at Chirtodi Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8528","Normal/Others","WS/MP070/2024-2025/41657-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light over Amrit Sarovar at Chirtodi Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8529","Normal/Others","WS/MP070/2024-2025/41656-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light in Kangdia Falia at Chitrodi Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8530","Normal/Others","WS/MP070/2024-2025/41655-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Chirtodi Primary School No. 1","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8531","Normal/Others","WS/MP070/2024-2025/41654-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Chirtodi Primary School No.3","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8532","Normal/Others","WS/MP070/2024-2025/41653-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Rationing Shop at Chirtodi Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8533","Normal/Others","WS/MP070/2024-2025/41652-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Padar Mataji temple at Chirtodi Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8534","Normal/Others","WS/MP070/2024-2025/41664-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Mahadev Temple at Dadhvav Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8535","Normal/Others","WS/MP070/2024-2025/41663-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light in Damor Vas at Dadhvav Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8536","Normal/Others","WS/MP070/2024-2025/41661-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Patel Kacharabhai Dhuwabhai’s House at Dadhvav Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","22-Aug-2025","25000"
"8537","Normal/Others","WS/MP070/2024-2025/41665-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Kokra Patthar at Dadhvav Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","22-Aug-2025","25000"
"8538","Normal/Others","WS/MP070/2024-2025/41662-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Patel Ramjibhai Dhuwabhai’s House at Dadhvav Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","22-Aug-2025","25000"
"8539","Normal/Others","WS/MP070/2024-2025/41666-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Damor Vas Mandir at Dhadwav Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8540","Normal/Others","WS/MP070/2024-2025/68965-Lighting of public spaces","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing solar street light near Parmar Ramesh Nanji's house in Pal village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","22-Aug-2025","25000"
"8541","Normal/Others","WS/MP070/2024-2025/68964-Lighting of public spaces","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing solar street light at Laxmanpura trinity roads","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","22-Aug-2025","25000"
"8542","Normal/Others","WS/MP070/2024-2025/68968-Lighting of public spaces","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing solar street light at Mothaliya faliya in Movatpura Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","22-Aug-2025","25000"
"8543","Normal/Others","WS/MP070/2024-2025/68967-Lighting of public spaces","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing solar street light in Mothaliya faliya near Babubhai's house in Movatpura Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","22-Aug-2025","25000"
"8544","Normal/Others","WS/MP070/2024-2025/68966-Lighting of public spaces","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing solar street light near Parmar Shivaji Sojaji's house in Pal village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","22-Aug-2025","25000"
"8545","Normal/Others","WS/MP070/2024-2025/68963-Lighting of public spaces","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing solar street light at Patel faliyu laxamanpura","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","22-Aug-2025","25000"
"8546","Normal/Others","WS/MP070/2024-2025/68962-Lighting of public spaces","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing solar street light near Laxmanpura Primary School","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8547","Normal/Others","WS/MP070/2024-2025/41617-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near water works at Dantod Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8548","Normal/Others","WS/MP070/2024-2025/41624-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Mahadev temple in Dantod Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8549","Normal/Others","WS/MP070/2024-2025/41623-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Shailesh Babu Tabiyad's house in Dantod Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8550","Normal/Others","WS/MP070/2024-2025/41618-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near the house of Sadat Naresh Savji in Dantod Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8551","Normal/Others","WS/MP070/2024-2025/41619-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near the house of Patel Chandubhai Mulaji in Dantod Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8552","Normal/Others","WS/MP070/2024-2025/41620-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Prakash Sojaji's house in Dantod Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8553","Normal/Others","WS/MP070/2024-2025/41622-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Jitendra Dangar's house in Dantod Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8554","Normal/Others","WS/MP070/2024-2025/41627-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Asari Ramesh Salu’s house in Jusawada Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8555","Normal/Others","WS/MP070/2024-2025/41626-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light on road going toward Bodat Falia in Jusawada Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8556","Normal/Others","WS/MP070/2024-2025/41628-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Jiwaji Kalaji's house in Asari Falia, Jusawada Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8557","Normal/Others","WS/MP070/2024-2025/41625-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Bodat Manoj Martaji's house in Jusawada Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8558","Normal/Others","WS/MP070/2024-2025/41630-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Bhagora Mangalaji Babaraj's house in Jusawada Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","21-Aug-2025","25000"
"8559","Normal/Others","WS/MP070/2024-2025/41633-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light at Char Vadla near house of Ashokbhai Badaji Ninama, Parvath Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8560","Normal/Others","WS/MP070/2024-2025/41635-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Work of Solar Streetlight at Main Highway Pickup Bus Stand No-2 at Village Parvath","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8561","Normal/Others","WS/MP070/2024-2025/41631-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light on Main Highway Masota Approach Tri Roads at Parvath Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8562","Normal/Others","WS/MP070/2024-2025/41636-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Vasmo Samp No.1 in Vadi Falia at Village Parvath","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8563","Normal/Others","WS/MP070/2024-2025/41637-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light near Vasmo Samp No.2 in Asari Falia at Village Parvath","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8564","Normal/Others","WS/MP070/2024-2025/41634-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light on crossroads along Parvath-Masota border at Parvath Village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Aug-2025","25000"
"8565","Normal/Others","WS/MP070/2024-2025/41587-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street at Ninama Harichandra Nemaji Falia, Chitaria Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","10-Sep-2025","25000"
"8566","Normal/Others","WS/MP070/2024-2025/41588-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street at Ninama Ravjibhai Bhimaji Falia, Chitaria Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","10-Sep-2025","25000"
"8567","Normal/Others","WS/MP070/2024-2025/41599-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light at  Ninama Meghaji Sakraji Falia, Chitaria Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","10-Sep-2025","25000"
"8568","Normal/Others","WS/MP070/2024-2025/41594-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light at  Ninama Jayantibhai Bachubhai Falia, Chitaria Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","10-Sep-2025","25000"
"8569","Normal/Others","WS/MP070/2024-2025/41595-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light at  Ninama Dilipkumar Babubhai Falia, Chitaria Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","29-Aug-2025","25000"
"8570","Normal/Others","WS/MP070/2024-2025/41591-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street at Ninama Jasodaben Ramji Falia, Chitaria Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","29-Aug-2025","25000"
"8571","Normal/Others","WS/MP070/2024-2025/41592-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street at Umeshbhai Gogaji Falia, Chitaria Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","29-Aug-2025","25000"
"8572","Normal/Others","WS/MP070/2024-2025/41584-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street at Hela Vinodbhai Babubhai Falia, Chitaria Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","25-Aug-2025","25000"
"8573","Normal/Others","WS/MP070/2024-2025/41585-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street at Hela Maganbhai Savjibhai Falia, Chitaria Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","25-Aug-2025","25000"
"8574","Normal/Others","WS/MP070/2024-2025/41616-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light at Dalpatpura School, Chitaria Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","25-Aug-2025","25000"
"8575","Repair and Renovation","WS/MP130/2023-2024/88316-Construction of rooms and halls in school and colleges","Odisha","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","repair and renovation of gopalpali high school, SMC","Dr. Amar Patnaik (2019-24) (NaN-NaN)","Elected MP","N/A","05-Jun-2025","500000"
"8576","Normal/Others","WS/MP070/2024-2025/41611-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light at Katara Mahendrakumar Ramjibhai Falia, Chitaria Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","25-Aug-2025","25000"
"8577","Normal/Others","WS/MP070/2024-2025/41615-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light at Ghoghara Babubhai Ratnaji Falia, Chitaria Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","25-Aug-2025","25000"
"8578","Normal/Others","WS/MP070/2024-2025/41602-Street lights","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Providing Solar Street Light at Balevia Bachubhai Jiwaji's Falia, Chitaria Village, Taluka Vijaynagar","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","09-Sep-2025","25000"
