"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"20079","Odisha","Renovation of ponds and lakes","WS/MP137/2023-2024/99885","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2020-24) (2020-2024)","Elected MP","29-Apr-2025","TAHASILDAR SARASKANA","Payment Success","67039"
"20080","Odisha","Construction of rooms and halls in school and colleges","WS/MP137/2023-2024/99886","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2020-24) (2020-2024)","Elected MP","28-Oct-2025","TAHASILDAR SARASKANA","Payment Success","55014"
"20081","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18417/2025-2026/211884","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2024-26) (2024-2026)","Elected MP","24-Sep-2025","TAHASILDAR SARASKANA","Payment Success","37681"
"20082","Odisha","Providing drains and gutters for public drainage","WS/MP137/2024-2025/100636","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2020-24) (2020-2024)","Elected MP","29-Apr-2025","TAHASILDAR SARASKANA","Payment Success","92122"
"20083","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP137/2024-2025/111378","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2020-24) (2020-2024)","Elected MP","29-Apr-2025","TAHASILDAR SARASKANA","Payment Success","40181"
"20084","Odisha","Construction of public toilets and bathrooms","WS/MP137/2024-2025/118895","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2020-24) (2020-2024)","Elected MP","10-Jun-2025","TAHASILDAR SARASKANA","Payment Success","49509"
"20085","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18417/2025-2026/161251","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2024-26) (2024-2026)","Elected MP","05-Jun-2025","TAHASILDAR SARASKANA","Payment Success","39527"
"20086","Andhra Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP026/2023-2024/55456","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri Subhas Chandra Bose Pilli (2020-26) (2020-2026)","Elected MP","21-Mar-2024","KOTA SATTIBABU","Payment Success","499978"
"20087","Telangana","Construction of community centers and community halls","WS/MP169/2024-2025/23074","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","15-Jun-2024","BALLA PRAVEEN KUMAR","Payment Success","500000"
"20088","Delhi","Construction of public libraries and reading rooms","WS/MP874/2023-2024/100001","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Mahesh Jethmalani (2021-24) (2021-2024)","Nominated MP","13-Oct-2025","JAI MAA KARNI TRADING COMPNAY","Payment Success","491575"
"20089","Delhi","Construction of public libraries and reading rooms","WS/MP874/2023-2024/100001","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Mahesh Jethmalani (2021-24) (2021-2024)","Nominated MP","20-Jun-2025","JAI MAA KARNI TRADING COMPNAY","Payment Success","750000"
"20090","Delhi","Construction of public libraries and reading rooms","WS/MP874/2023-2024/100001","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Mahesh Jethmalani (2021-24) (2021-2024)","Nominated MP","21-Mar-2024","JAI MAA KARNI TRADING COMPNAY","Payment Success","3750000"
"20091","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP151/2025-2026/239543","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Rajendra Gehlot (2020-26) (2020-2026)","Elected MP","20-May-2026","GRAM PANCHAYAT BARANGNA","Payment Success","199810"
"20092","Meghalaya","Development of public parks","WS/MP128/2024-2025/125755","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","Dr. Wanweiroy Kharlukhi (2020-26) (2020-2026)","Elected MP","20-Feb-2026","Lajiedbha Mynsong","Payment Success","500000"
"20093","Meghalaya","Development of public parks","WS/MP128/2024-2025/125755","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","Dr. Wanweiroy Kharlukhi (2020-26) (2020-2026)","Elected MP","26-Mar-2025","Lajiedbha Mynsong","Payment Success","500000"
"20094","Assam","Construction of buildings for community cultural activities","WS/MP074/2023-2024/121588","Biswanath(Deputy Commissioner Biswanath_IDA)","Shri Sarbananda Sonowal (2021-24) (2021-2024)","Elected MP","29-May-2025","LOHIT BHUYAN","Payment Success","196000"
"20095","Assam","Construction of buildings for community cultural activities","WS/MP074/2023-2024/121588","Biswanath(Deputy Commissioner Biswanath_IDA)","Shri Sarbananda Sonowal (2021-24) (2021-2024)","Elected MP","11-Jun-2024","LOHIT BHUYAN","Payment Success","478157"
"20096","Assam","Construction of buildings for community cultural activities","WS/MP074/2023-2024/121588","Biswanath(Deputy Commissioner Biswanath_IDA)","Shri Sarbananda Sonowal (2021-24) (2021-2024)","Elected MP","29-Jul-2024","LOHIT BHUYAN","Payment Success","325380"
"20097","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP231/2024-2025/29578","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Kailash Soni (2018-24) (2018-2024)","Elected MP","12-Sep-2024","SARPANCH SACHIV GRAM PANCHAYAT KHURSIPAR","Payment Success","50000"
"20098","Chhattisgarh","Construction of bus-sheds or bus-stops","WS/MP175/2023-2024/115318","KORBA(Collector-Korba)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","16-Mar-2024","SARPANCH SACHIV GRAM PANCHAYAT MURHALI","Payment Success","500000"
"20099","Chhattisgarh","Construction of bus-sheds or bus-stops","WS/MP175/2023-2024/115318","KORBA(Collector-Korba)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","15-May-2025","SARPANCH SACHIV GRAM PANCHAYAT MURHALI","Payment Success","494984"
"20100","Chhattisgarh","Construction of public staircase/ stair ghat for public convenience","WS/MP175/2023-2024/115304","KORBA(Collector-Korba)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","16-Mar-2024","GRAM PANCHAYAT NEWSA","Payment Success","500000"
"20101","Chhattisgarh","Construction of public staircase/ stair ghat for public convenience","WS/MP175/2023-2024/115308","KORBA(Collector-Korba)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","16-Mar-2024","GRAM PANCHAYAT NEWSA","Payment Success","500000"
"20102","Chhattisgarh","Construction of public staircase/ stair ghat for public convenience","WS/MP175/2023-2024/115308","KORBA(Collector-Korba)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","14-May-2025","GRAM PANCHAYAT NEWSA","Payment Success","497608"
"20103","Chhattisgarh","Construction of public staircase/ stair ghat for public convenience","WS/MP175/2023-2024/115304","KORBA(Collector-Korba)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","14-May-2025","GRAM PANCHAYAT NEWSA","Payment Success","499188"
"20104","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP836/2023-2024/66867","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","19-Mar-2024","LATE DR KUBERSINGH MAHAVIDHYALAYA","Payment Success","450000"
"20105","Gujarat","Lighting of public spaces","WS/MP070/2024-2025/97948","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","28-Jun-2024","NAKA GRAM PANCHAYAT","Payment Success","500000"
"20106","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP060/2023-2024/38882","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Dr. Amee Yajnik (2018-24) (2018-2024)","Elected MP","16-Mar-2024","NAKA GRAM PANCHAYAT","Payment Success","250000"
"20107","Andhra Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP024/2023-2024/56547","NTR(DISTRICT COLLECTOR NTR_IDA)","Shri Kanakamedala Ravindra Kumar (2018-24) (2018-2024)","Elected MP","04-Mar-2024","CHANDIKA RAVISRI BABU","Payment Success","499890"
"20108","Andhra Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP024/2023-2024/109080","NTR(DISTRICT COLLECTOR NTR_IDA)","Shri Kanakamedala Ravindra Kumar (2018-24) (2018-2024)","Elected MP","16-Apr-2024","CHANDIKA RAVISRI BABU","Payment Success","496506"
"20109","Andhra Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP024/2023-2024/109081","NTR(DISTRICT COLLECTOR NTR_IDA)","Shri Kanakamedala Ravindra Kumar (2018-24) (2018-2024)","Elected MP","16-Apr-2024","CHANDIKA RAVISRI BABU","Payment Success","498928"
"20110","Andhra Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP024/2023-2024/109082","NTR(DISTRICT COLLECTOR NTR_IDA)","Shri Kanakamedala Ravindra Kumar (2018-24) (2018-2024)","Elected MP","16-Apr-2024","CHANDIKA RAVISRI BABU","Payment Success","499870"
"20111","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP236/2023-2024/12265","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","18-Apr-2024","aman enterprisez","Payment Success","167368"
"20112","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP236/2023-2024/12265","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","04-Mar-2024","aman enterprisez","Payment Success","750000"
"20113","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP150/2023-2024/15801","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","08-Jul-2024","aman enterprisez","Payment Success","641492"
"20114","Haryana","Providing garbage collection and disposal systems","WS/MP076/2023-2024/48990","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","24-Jan-2025","Goswami Tractors","Payment Success","503551"
"20115","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP063/2023-2024/10279","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Jugalsinh Lokhandwala (2019-23) (2019-2023)","Elected MP","05-Mar-2024","MEVAD GRAM PANCHAYAT","Payment Success","500000"
"20116","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP232/2023-2024/14815","NEEMUCH(District Collector Neemuch_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","06-Mar-2024","GRAM PANCHAYAT MODI","Payment Success","250000"
"20117","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP232/2023-2024/14815","NEEMUCH(District Collector Neemuch_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","13-Oct-2025","GRAM PANCHAYAT MODI","Payment Success","250000"
"20118","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP008/2023-2024/97580","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","10-Jun-2025","s s construction bhopal","Payment Success","1355128"
"20119","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP008/2023-2024/97580","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","26-Mar-2024","s s construction bhopal","Payment Success","1189447"
"20120","Madhya Pradesh","Development of playfields and sports grounds","WS/MP008/2023-2024/97579","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","10-Jun-2024","s s construction bhopal","Payment Success","1193238"
"20121","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP008/2023-2024/97584","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","10-Jun-2024","s s construction bhopal","Payment Success","1465089"
"20122","Madhya Pradesh","Construction of shelters for animals","WS/MP008/2023-2024/97582","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","10-Jun-2024","s s construction bhopal","Payment Success","1667795"
"20123","Madhya Pradesh","Construction of shelters for animals","WS/MP008/2023-2024/97582","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","08-Jul-2024","s s construction bhopal","Payment Success","1701905"
"20124","Madhya Pradesh","Development of playfields and sports grounds","WS/MP008/2023-2024/97579","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","10-Jul-2024","s s construction bhopal","Payment Success","456915"
"20125","Madhya Pradesh","Construction of community centers and community halls","WS/MP008/2023-2024/97583","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","08-Aug-2024","s s construction bhopal","Payment Success","1330462"
"20126","Madhya Pradesh","Construction of community centers and community halls","WS/MP008/2023-2024/97581","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","08-Aug-2024","s s construction bhopal","Payment Success","1026650"
"20127","Madhya Pradesh","Construction of community centers and community halls","WS/MP008/2023-2024/97581","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","20-Feb-2025","s s construction bhopal","Payment Success","428941"
"20128","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP008/2023-2024/97584","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","20-Feb-2025","s s construction bhopal","Payment Success","1079783"
"20129","Madhya Pradesh","Development of playfields and sports grounds","WS/MP008/2023-2024/97579","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","20-Feb-2025","s s construction bhopal","Payment Success","772279"
"20130","Madhya Pradesh","Construction of community centers and community halls","WS/MP008/2023-2024/97581","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","03-Nov-2025","s s construction bhopal","Payment Success","506966"
"20131","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP008/2023-2024/97580","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","03-Nov-2025","s s construction bhopal","Payment Success","470432"
"20132","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP008/2023-2024/97584","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","03-Nov-2025","s s construction bhopal","Payment Success","496394"
"20133","Madhya Pradesh","Development of playfields and sports grounds","WS/MP008/2023-2024/97579","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","03-Nov-2025","s s construction bhopal","Payment Success","21752"
"20134","Madhya Pradesh","Construction of shelters for animals","WS/MP008/2023-2024/97582","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","03-Nov-2025","s s construction bhopal","Payment Success","532776"
"20135","Madhya Pradesh","Construction of community centers and community halls","WS/MP008/2023-2024/97583","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","03-Nov-2025","s s construction bhopal","Payment Success","607664"
"20136","Madhya Pradesh","Construction of community centers and community halls","WS/MP008/2023-2024/97581","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","21-Oct-2024","s s construction bhopal","Payment Success","1629185"
"20137","Madhya Pradesh","Construction of community centers and community halls","WS/MP008/2023-2024/97583","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","06-Nov-2024","s s construction bhopal","Payment Success","1514208"
"20138","Madhya Pradesh","Construction of shelters for animals","WS/MP008/2023-2024/97582","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","13-Jan-2025","s s construction bhopal","Payment Success","2607217"
"20139","Madhya Pradesh","Construction of community centers and community halls","WS/MP008/2023-2024/97583","VIDISHA(District Collector Vidisha_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","13-Jan-2025","s s construction bhopal","Payment Success","599734"
"20140","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP030/2023-2024/124097","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri V. Vijayasai Reddy (2022-25) (2022-2025)","Elected MP","13-Mar-2025","POONDLA VIJAYA BHASKAR REDDY","Payment Success","492756"
"20141","West Bengal","Installing tube-wells and borewells","WS/MP214/2023-2024/2658","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Shri Sukhendu Sekhar Ray (2017-23) (2017-2023)","Elected MP","06-Mar-2024","SK  SAMSAD","Payment Success","171162"
"20142","Odisha","Lighting of public spaces","WS/MP18409/2025-2026/203391","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Debashish Samantaray (2024-30) (2024-2026)","Elected MP","12-Dec-2025","Bajarangi Solar PVT ltd","Payment Success","250000"
"20143","Odisha","Street lights","WS/MP18409/2025-2026/203392","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Debashish Samantaray (2024-30) (2024-2026)","Elected MP","11-Dec-2025","Bajarangi Solar PVT ltd","Payment Success","499994"
"20144","Odisha","Lighting of public spaces","WS/MP18409/2025-2026/203389","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Debashish Samantaray (2024-30) (2024-2026)","Elected MP","17-Dec-2025","Bajarangi Solar PVT ltd","Payment Success","250000"
"20145","Odisha","Lighting of public spaces","WS/MP18409/2025-2026/203387","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Debashish Samantaray (2024-30) (2024-2026)","Elected MP","17-Dec-2025","Bajarangi Solar PVT ltd","Payment Success","250000"
"20146","Odisha","Lighting of public spaces","WS/MP18409/2025-2026/203388","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Debashish Samantaray (2024-30) (2024-2026)","Elected MP","17-Dec-2025","Bajarangi Solar PVT ltd","Payment Success","250000"
