"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2730","Normal/Others","WS/MP150/2023-2024/14780-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","Gram machadi m Main road se nichle rasthe ki or interloking work","01-Sep-2023","699160","07-Dec-2023"
"2731","Normal/Others","WS/MP150/2023-2024/14781-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","gram dhadanga m main road se balaji baba ke sthan ki or interloking","01-Sep-2023","799886","07-Dec-2023"
"2732","Normal/Others","WS/MP150/2023-2024/14783-Construction of rooms and halls in school and colleges","Rajasthan","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","Govt School lalwas m tow room work","01-Sep-2023","999747","08-Feb-2024"
"2733","Normal/Others","WS/MP150/2024-2025/14784-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","naradpur moksh dham m interloking road","01-Sep-2023","798943","14-Jun-2024"
"2734","Normal/Others","WS/MP150/2023-2024/14786-Construction of toilet blocks","Rajasthan","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","Govt school bagdo ki dhani m toilet","01-Sep-2023","792000","31-Jan-2024"
"2735","Normal/Others","WS/MP232/2023-2024/14815-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","NEEMUCH(District Collector Neemuch_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of D.D. Road in Meghwal Mohalla of village Modi under Gram Panchayat Modi, Block Jawad, Dist. Neemuch","01-Sep-2023","500000","03-Jan-2024"
"2736","Normal/Others","WS/MP232/2023-2024/14817-Construction of buildings for community cultural activities","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of Community Building for community activities in village Bagripura under Sunderpura Gram Panchayat. Block Biaora, Dist. Rajgarh","01-Sep-2023","500000","29-Dec-2023"
"2737","Normal/Others","WS/MP232/2024-2025/14818-Construction of buildings for community cultural activities","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of Community Building for community activities in village Khankra Teja under Gram Panchayat Khankra Teja, Block Biaora, Dist. Rajgarh","01-Sep-2023","500000","22-Nov-2024"
"2738","Normal/Others","WS/MP232/2024-2025/14819-Installing tube-wells and borewells","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Installation of Tube well with Motor Pump in village Talawada Maharaja Near Hanuman Mandir. Block Biaora, Dist. Rajgarh","01-Sep-2023","148000","21-Jun-2024"
"2739","Normal/Others","WS/MP236/2023-2024/14839-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","Construction work of Public Library at Hingol Singh Ka waas, Revenue Village Adarsh Basti Bishala, Gram Panchayat Bishala, Panchayat Samiti Barmer, District Barmer","01-Sep-2023","999990","05-Oct-2023"
"2740","Normal/Others","WS/MP236/2023-2024/14840-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","Construction work of Public Library at Sawairam/Mehraram ka waas, Revenue Village Prajapaton Ki Dhani Bishala, Gram Panchayat Bishala, Panchayat Samiti Barmer, District Barmer","01-Sep-2023","999990","07-Oct-2023"
"2741","Normal/Others","WS/MP236/2023-2024/14857-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","Gravel Road construction work, Jaimla pond to Sankra Road, Gram Panchayat Dalpatpura, Panchayat Samiti Sankra, District Jaisalmer","01-Sep-2023","1000000","09-Oct-2023"
"2742","Repair and Renovation","WS/MP236/2023-2024/14858-Construction of public irrigation facilities","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","Canal (Khala) Cleaning and Construction work from Chak No. 1 CHMA Murabba No. 152/45 to 152/39 in Gram Panchayat Ghantiyali, Panchayat Samiti Nachna, District Jaisalmer","01-Sep-2023","1000000","09-Oct-2023"
"2743","Normal/Others","WS/MP236/2023-2024/14859-Creation of new ponds","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","Diggi (Pond) Construction work for drinking water for Public at Chak 8 DOL Bhakhar Ram Ki Dhani in Gram Panchayat Ghantiyali, Panchayat Samiti Nachna, District Jaisalmer","01-Sep-2023","500000","09-Oct-2023"
"2744","Normal/Others","WS/MP236/2023-2024/14860-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","Interlocking Tiles Construction work from Main Road to Raipalon Ka Waas in Gram Panchayat Jhalariya, Panchayat Samiti Sankra, Dist Jaisalmer","01-Sep-2023","1000000","09-Oct-2023"
"2745","Repair and Renovation","WS/MP236/2023-2024/14861-Construction of public irrigation facilities","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","Canal (Khala) Cleaning and Construction work from Chak No. 2 GTD Murabba No. 188/39 to 188/47 in Gram Panchayat Ghantiyali, Panchayat Samiti Nachna, District Jaisalmer","01-Sep-2023","500000","09-Oct-2023"
"2746","Normal/Others","WS/MP023/2023-2024/14917-Construction of shelters for animals","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","Construction of Animal Traps at Potladurthy village, Yerraguntla Mandal. (279)","01-Sep-2023","300000","11-Sep-2023"
"2747","Normal/Others","WS/MP023/2023-2024/14918-Construction of community centers and community halls","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","Construction of Community Hall at Potladurthy Village Yerraguntla Mandal of Kadapa District. (214)","01-Sep-2023","4060989","11-Sep-2023"
"2748","Normal/Others","WS/MP023/2023-2024/14919-Construction of boundary walls of existing public and community buildings","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","Construction of Compound wall to Community Hall at Potladurthy Village Yerraguntla Mandal of Kadapa District.  (215)","01-Sep-2023","650000","11-Sep-2023"
"2749","Normal/Others","WS/MP023/2023-2024/14920-Providing drains and gutters for public drainage","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","Construction of Drain from Peddhamma Temple to Siva Reddy Bricks factory in Potladurthi village of Yerraguntla Mandal. (249)","01-Sep-2023","5565479","12-Sep-2023"
"2750","Normal/Others","WS/MP023/2023-2024/14921-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","Construction of Janaza room to Burial ground at Kothapalli Village of Proddatur Mandal. (282)","01-Sep-2023","499351","08-Sep-2023"
"2751","Normal/Others","WS/MP023/2023-2024/14923-Construction of culverts and bridges","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","Construction of Slab Culvert at 1/200 Potladurthy Kogatam road in Potladurthy GP of Yerraguntla Mandal. (302)","01-Sep-2023","1484949","11-Sep-2023"
"2752","Normal/Others","WS/MP023/2023-2024/14924-Development of public parks","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","Construction of Public Park in Potladurthy GP of Yerraguntla Mandal. (304)","01-Sep-2023","6427412","11-Sep-2023"
"2753","Normal/Others","WS/MP023/2023-2024/14925-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","Construction of Drains & CC Road from N-09-32 to 329 of Rukavanipalli 50th Division Kadapa MC (314)","01-Sep-2023","249928","08-Sep-2023"
"2754","Normal/Others","WS/MP023/2023-2024/14926-Construction of boundary walls of existing public and community buildings","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","Construction of Compound wall to Community Hall, Potladurthy (V), Yerraguntla Mandal. (315)","01-Sep-2023","1700000","11-Sep-2023"
"2755","Normal/Others","WS/MP069/2025-2026/14927-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","For the work of Construction of CC Road from Mota Walkla near Ram Wadi to Jinabhai Diabhai Wadi at Dabhor Village of Veraval Taluka","01-Sep-2023","499907","31-Jul-2025"
"2756","Normal/Others","WS/MP023/2024-2025/14936-Installing community drinking water plants","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","Providing 1000 LPH Mineral Water Plant along with shed at Vaddepalli of Racha palli Village, Ramapuram Mandal. (26)","01-Sep-2023","250000","12-Sep-2024"
"2757","Normal/Others","WS/MP023/2023-2024/14940-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","Providing of CC Culvert and Gravel Road near Door No.38/5893 at Rajaji Nagar of Kadapa Municipal Corporation.          (321)","01-Sep-2023","246836","08-Sep-2023"
"2758","Normal/Others","WS/MP031/2023-2024/14942-Providing drains and gutters for public drainage","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","Providing side drains from Attanti Krishnaiah house to Ganapaneni Brahmaiah house of Gangapalem Habitation in Gangapalem GP in Lingasamudram Mandal","01-Sep-2023","467119","01-Nov-2023"
"2759","Normal/Others","WS/MP031/2023-2024/14943-Providing drains and gutters for public drainage","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","Providing Side drains from Gangapalem Brahmaiah House to Sadineni Malakondaiah tobacco barney of Gangapalem Habitation in Gangapalem GP in Lingasamudram Mandal","01-Sep-2023","167892","01-Nov-2023"
"2760","Normal/Others","WS/MP031/2023-2024/14946-Construction of boundary walls of existing public and community buildings","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","Construction of Southern-side Compound Wall (Beside Main Gate) at ZP High School in Vidavalur Village & Mandal","01-Sep-2023","497831","25-Oct-2023"
"2761","Normal/Others","WS/MP031/2023-2024/14947-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","Laying of Internal CC Road at Gamalla Palem of Parlapalli Village, Vidavalur Mandal","01-Sep-2023","499828","05-Oct-2023"
"2762","Normal/Others","WS/MP031/2023-2024/14948-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","Construction of CC road and Side Drain from B.Venkateswarlu House to N.Sridevi House, BC Colony, Annareddypalem Village, Sangam Mandal","01-Sep-2023","498891","05-Oct-2023"
"2763","Normal/Others","WS/MP031/2023-2024/14949-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","Construction of CC road and Side Drain from G.Venkateswarlu House to N.Rajamma House, BC Colony, Annareddypalem Village, Sangam Mandal","01-Sep-2023","498971","05-Oct-2023"
"2764","Normal/Others","WS/MP031/2023-2024/14950-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","Construction of CC road and Side Drain from U.Venu House to B.Mahesh House, BC Colony, Annareddypalem Village, Sangam Mandal","01-Sep-2023","499040","05-Oct-2023"
"2765","Normal/Others","WS/MP031/2023-2024/14951-Construction of boundary walls of existing public and community buildings","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","Construction of Compound Wall to Muslim Burial Ground Bit-I at Indupur GP of Allur Mandal","01-Sep-2023","496871","01-Nov-2023"
"2766","Normal/Others","WS/MP010/2023-2024/15052-Construction of culverts and bridges","Madhya Pradesh","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Dr. Sumer Singh Solanki (2020-26) (2020-2026)","Elected MP","Puliya Nirman Work Gram barkhedidev, gram panchayat-garhakalan, block-Bairsiya District-Bhopal","01-Sep-2023","1500000","26-Sep-2023"
"2767","Normal/Others","WS/MP010/2023-2024/15053-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Madhya Pradesh","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Dr. Sumer Singh Solanki (2020-26) (2020-2026)","Elected MP","Crematoriums or structures on cremation ground for public convenience at Gram Panchayat - Kachnariya, Block-Berasia, District-Bhopal","01-Sep-2023","1500000","26-Sep-2023"
"2768","Normal/Others","WS/MP010/2023-2024/15070-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Sumer Singh Solanki (2020-26) (2020-2026)","Elected MP","Purchase of mobile water tankers at Gram Panchayat-Longsari, Block-Kukshi, District-Dhar","01-Sep-2023","156733","12-Dec-2023"
"2769","Normal/Others","WS/MP010/2023-2024/15072-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Sumer Singh Solanki (2020-26) (2020-2026)","Elected MP","Purchase of mobile water tankers at Gram Panchayat-Doi, Block-Kukshi, District-Dhar","01-Sep-2023","156733","12-Dec-2023"
"2770","Normal/Others","WS/MP010/2023-2024/15074-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Sumer Singh Solanki (2020-26) (2020-2026)","Elected MP","Purchase of mobile water tankers at Gram Panchayat-Kutedi, Block-Kukshi, District-Dhar","01-Sep-2023","156733","12-Dec-2023"
"2771","Normal/Others","WS/MP010/2023-2024/15076-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Sumer Singh Solanki (2020-26) (2020-2026)","Elected MP","Purchase of mobile water tankers at Gram Panchayat-Khargone, Block-Kukshi, District-Dhar","01-Sep-2023","156733","12-Dec-2023"
"2772","Normal/Others","WS/MP010/2023-2024/15078-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Sumer Singh Solanki (2020-26) (2020-2026)","Elected MP","Purchase of mobile water tankers at Gram Panchayat-Dholya, Block-Kukshi, District-Dhar","01-Sep-2023","156733","12-Dec-2023"
